db_path	table	rows	create_sql_first_line
audit_logs/ab_test.db	ab_test_runs	64	CREATE TABLE ab_test_runs (
audit_logs/ab_test.db	resource_contention_log_old	0	CREATE TABLE "resource_contention_log_old" (
audit_logs/ab_test.db	resource_contention_log	0	CREATE TABLE resource_contention_log (
audit_logs/ab_test.db	godot_log_entries	1949	CREATE TABLE godot_log_entries (
audit_logs/ab_test.db	godot_state_events	1895	CREATE TABLE godot_state_events (
audit_logs/ab_test.db	alerts_sent	0	CREATE TABLE alerts_sent (
audit_logs/ab_test.db	auto_heal_actions	27	CREATE TABLE auto_heal_actions (
audit_logs/ab_test.db	fix_patterns	25	CREATE TABLE fix_patterns (
code_index.db	files	441	CREATE TABLE files (
code_index.db	symbols	11816	CREATE TABLE symbols (
diagnostics.db	diagnosis_log	82	CREATE TABLE diagnosis_log (
diagnostics.db	repair_strategies	0	CREATE TABLE repair_strategies (
fix_state.db	fixes	14	CREATE TABLE fixes (
fix_state.db	history	5	CREATE TABLE history (
fixes.db	errors	0	CREATE TABLE errors (
fixes.db	fixes	3	CREATE TABLE fixes (
gd_backup_index.db	files	6555	CREATE TABLE files (
gd_backup_index.db	refs	84	CREATE TABLE refs (res_path TEXT PRIMARY KEY, logical TEXT)
gd_patterns.db	fix_patterns	4	CREATE TABLE fix_patterns (
gd_patterns.db	fix_log	6	CREATE TABLE fix_log (
godot_project/default.db	issues	0	CREATE TABLE issues (id INTEGER PRIMARY KEY AUTOINCREMENT, created_at TEXT NOT NULL DEFAULT (datetime('now')), symptom TEXT NOT NULL, root_cause TEXT NOT NULL, fix_applied TEXT NOT NULL, verified INTEGER NOT NULL DEFAULT 0)
godot_project/default.db	screenshots	0	CREATE TABLE screenshots (id INTEGER PRIMARY KEY AUTOINCREMENT, created_at TEXT NOT NULL DEFAULT (datetime('now')), filename TEXT NOT NULL UNIQUE, path TEXT NOT NULL)
godot_project/default.db	parse_errors	0	CREATE TABLE parse_errors (id INTEGER PRIMARY KEY AUTOINCREMENT, created_at TEXT NOT NULL DEFAULT (datetime('now')), script TEXT NOT NULL, error_text TEXT NOT NULL, fix_script TEXT NOT NULL, fix_result TEXT NOT NULL DEFAULT 'pending')
godot_project/dependencies.db	discovered_scripts	42	CREATE TABLE discovered_scripts (
godot_project/parachute_mutations.db	pipelineruns	23	CREATE TABLE pipelineruns (
godot_project/parachute_mutations.db	autohealactions	692	CREATE TABLE autohealactions (
godot_project/parachute_mutations.db	verificationresults	12	CREATE TABLE verificationresults (
godot_project/parachute_mutations.db	gd_patch_registry	658	CREATE TABLE gd_patch_registry (
godot_project/parachute_mutations.db	error_log	136	CREATE TABLE error_log (
godot_project/parachute_mutations.db	fix_strategies	69	CREATE TABLE fix_strategies (
godot_project/parachute_mutations.db	source_snapshots	1	CREATE TABLE source_snapshots (
godot_project/recovery_engine.db	errors	0	CREATE TABLE errors (
godot_project/recovery_engine.db	fix_strategies	15	CREATE TABLE fix_strategies (
godot_project/recovery_engine.db	fix_log	39	CREATE TABLE fix_log (
godot_project/recovery_engine.db	runtime_logs	108	CREATE TABLE runtime_logs (
godot_project/recovery_engine.db	auto_heal_actions	1870	CREATE TABLE auto_heal_actions (
godot_project/recovery_engine.db	dependencies	4	CREATE TABLE dependencies (
godot_project/recovery_engine.db	error_log	1162	CREATE TABLE error_log (
godot_project/recovery_engine.db	dependency_graph	9	CREATE TABLE dependency_graph (
godot_project/recovery_engine.db	tool_registry	0	CREATE TABLE tool_registry (
godot_project/recovery_engine.db	component_health	0	CREATE TABLE component_health (
godot_project/scripts/parachute_mutations.db	replay_api_tests	3	CREATE TABLE replay_api_tests (
godot_project/scripts/parachute_mutations.db	tool_audit	3	CREATE TABLE tool_audit (
godot_project/scripts/parachute_mutations.db	verificationresults	0	CREATE TABLE verificationresults (
indent_if_scan.db	errors	0	CREATE TABLE errors (
multi_tool_audit.db	runs	1	CREATE TABLE runs(
multi_tool_audit.db	db_snapshot	1	CREATE TABLE db_snapshot(
multi_tool_audit.db	tool_runs	18	CREATE TABLE tool_runs(
multi_tool_audit.db	gd2py_bridge	1	CREATE TABLE gd2py_bridge(
multi_tool_audit.db	git_evidence	1	CREATE TABLE git_evidence(
multi_tool_audit.db	citation_checks	12	CREATE TABLE citation_checks (
